Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,0.025689747,0.02407147,0.023581627,0.02202044,0.021472336,0.020340487,0.02030574,0.019598578,0.019776082,0.018923212,0.018817676,0.018702884,0.018386396,0.017495881,0.016391958,0.016458172,0.01630869,0.015765732,0.015639275,0.015738032,0.015123759,0.015045895,0.014691009,0.013922803,0.013864309,0.012167335,0.012023076,0.011640687,0.011205597,0.010752502,0.009345426,0.009389154,0.008910722,0.008384643,0.008250055,0.008068337,0.007987346,0.007739555,0.007282547,0.00688231,0.00640573,0.005725121,0.005619555,0.005372809,0.005312492,0.005415707,0.005287699,0.004981462,0.005126945,0.005056544,0.004980556,0.004622035,0.004911605,0.004713281,0.004356535,0.004624843,0.004360113,0.00419857,0.004239295,0.004044731,0.003708518,0.00368259,0.003473026,0.003628065
1,0.002328035,0.002055984,0.002102265,0.001757799,0.001896652,0.001628951,0.001693866,0.001534847,0.001573871,0.00154498,0.00124059,0.001249548,0.001353434,0.001174908,0.001186477,0.001228376,0.001199966,0.001165207,0.001177118,0.001048044,0.001082182,0.001079428,0.000980407,0.000974841,0.000924297,0.000806018,0.000802082,0.00087655,0.000812863,0.000756335,0.000730794,0.000684356,0.000655133,0.000662013,0.000778677,0.000673785,0.000667192,0.000609643,0.000561553,0.00060204,0.00056101,0.000490883,0.00044705,0.000493796,0.000473096,0.000444445,0.000388649,0.000436109,0.000388613,0.000313457,0.000346469,0.000358682,0.000390633,0.000372148,0.00036886,0.000396298,0.000307179,0.000328634,0.00024574,0.000313526,0.000307297,0.000258564,0.000302542,0.0002176
2,0.001323959,0.001079577,0.001148271,0.000865466,0.001020276,0.000899728,0.000972519,0.000831041,0.000876101,0.000848983,0.000836505,0.000709497,0.000757408,0.000713851,0.000766653,0.000713857,0.000714896,0.000710891,0.000625882,0.000638798,0.000604937,0.000750534,0.000600667,0.000553519,0.000459387,0.000449118,0.000532603,0.000484324,0.000424617,0.000459765,0.000446495,0.000454037,0.000424306,0.000340463,0.000368742,0.000375905,0.000379335,0.000394444,0.000344648,0.000258372,0.000351853,0.000289656,0.000264914,0.00029221,0.000232975,0.00030036,0.000250954,0.000253542,0.000314451,0.000165156,0.000218709,0.000172142,0.000240525,0.000200622,0.00017218,0.000205738,0.000181997,0.000204099,0.0001896,0.000125832,0.000163916,0.000112346,0.000138378,0.000141632
3,0.00093304,0.000779663,0.000817017,0.000629236,0.000725744,0.000669486,0.000716231,0.000621319,0.000655194,0.000643248,0.000647832,0.000626913,0.000609806,0.000547075,0.000543468,0.00053114,0.000473405,0.000553388,0.000427677,0.000452868,0.000504248,0.000570525,0.000511991,0.000454201,0.000403213,0.000324583,0.000438673,0.000420964,0.000350495,0.000330331,0.000349424,0.000252459,0.000263071,0.000263948,0.000283377,0.000258948,0.000289828,0.000324541,0.000280698,0.000270049,0.000197513,0.000219412,0.000223976,0.000179528,0.000187821,0.00015632,0.000176693,0.000162018,0.00017596,0.0002063,0.000191515,0.000121773,0.000167988,0.000143935,0.000130969,0.000148424,0.000159897,0.000169044,0.000154027,0.000138226,0.00011091,0.000119328,0.000120357,0.00012332
4,0.000694518,0.000594771,0.000614116,0.000483154,0.000545357,0.000516392,0.000546689,0.000481524,0.000507922,0.000505097,0.000463964,0.000459797,0.000522482,0.000471873,0.000524375,0.000519905,0.000417408,0.000491363,0.000437314,0.000409732,0.000367524,0.000433678,0.000342977,0.000371211,0.000365559,0.00031067,0.000292373,0.00035392,0.000288951,0.000262075,0.000268389,0.000216931,0.00026987,0.000223851,0.000198007,0.000275061,0.000219074,0.000230885,0.000261115,0.000186789,0.000208118,0.000149753,0.000156387,0.000134354,0.000138305,0.000128119,0.000128705,0.000105469,0.00010783,0.000146886,0.000143071,0.00015474,0.000147209,0.000137133,6.81618E-05,0.000123852,0.000101094,0.000137054,0.000137042,0.000101367,0.0001018,9.29737E-05,8.68856E-05,7.68523E-05
5,0.000605715,0.000531654,0.000540938,0.000434627,0.000480237,0.000449745,0.000471084,0.000421378,0.000444605,0.000447745,0.00042848,0.000493005,0.000416819,0.000408367,0.000426738,0.000357268,0.000315231,0.000345454,0.000359173,0.000356121,0.000346162,0.000325843,0.000357542,0.000305118,0.000270899,0.000329263,0.00027464,0.000262321,0.00025801,0.000262038,0.000223497,0.000191573,0.000213504,0.000222378,0.000181018,0.000174436,0.000189539,0.000156774,0.000207831,0.000135096,0.000177047,0.000116374,0.000143855,0.00014439,0.00016422,0.000111818,0.00011627,0.000128712,0.000111711,0.00011759,0.000127493,0.00012019,0.000128144,0.000100794,7.66908E-05,0.000105376,9.26062E-05,9.76244E-05,0.000114037,8.26417E-05,7.34958E-05,0.00010136,8.96666E-05,6.90614E-05
6,0.000549824,0.000494673,0.000496016,0.000406896,0.00044023,0.000402626,0.000417183,0.000379035,0.00040004,0.000407897,0.00029799,0.000340816,0.000343738,0.0003138,0.000327537,0.000319305,0.000280979,0.000302138,0.00023392,0.000296961,0.00029787,0.000305818,0.000288685,0.00026018,0.00024853,0.00024394,0.000193114,0.000229331,0.000247619,0.000244928,0.000221459,0.000195479,0.000232267,0.000173451,0.000194801,0.000199619,0.000170809,0.00016641,0.000169411,0.000162005,0.000159779,0.000155264,0.000140814,0.000125831,0.000123189,0.000140123,0.000105912,0.000125143,0.000116228,8.70516E-05,0.000133364,0.000107897,0.000106856,0.000114692,0.000103718,0.000103043,9.13055E-05,9.24157E-05,8.06127E-05,8.77838E-05,7.94768E-05,9.45669E-05,8.01666E-05,8.34135E-05
7,0.000448938,0.000414054,0.000409198,0.000342632,0.000363071,0.000344311,0.000352847,0.000325689,0.000343834,0.000354895,0.000330369,0.000306915,0.000285142,0.000305251,0.000302897,0.000285916,0.000289249,0.000280532,0.000234069,0.000249844,0.000281896,0.000262927,0.000237525,0.00027214,0.000250556,0.000222955,0.000205627,0.000244069,0.000183575,0.000155921,0.000209282,0.000163817,0.000167117,0.000191417,0.000147682,0.000160701,0.000141316,0.000176965,0.000143329,0.000133399,0.000158376,0.000122155,0.000114926,9.78995E-05,0.000116773,8.70867E-05,0.000110296,0.000114722,8.33321E-05,8.88115E-05,0.000111953,9.48526E-05,8.51422E-05,8.74796E-05,0.000101651,6.78268E-05,8.26024E-05,7.74346E-05,7.16452E-05,8.70791E-05,4.88201E-05,7.91398E-05,6.0776E-05,9.45221E-05
8,0.00040916,0.000377223,0.000375437,0.000317596,0.000334545,0.000315481,0.000329671,0.00029415,0.00031875,0.000320894,0.000311861,0.000245769,0.000310079,0.000310318,0.000227928,0.000254597,0.000300579,0.000330593,0.000235921,0.00023989,0.000245557,0.000281756,0.0002304,0.000258129,0.000204939,0.000209457,0.000191683,0.000197133,0.000208983,0.000246768,0.000159203,0.000189944,0.000177476,0.000145527,0.000161397,0.000140006,0.000113589,0.000147532,0.000118774,0.00013332,0.000139571,0.000132424,0.00010333,0.000108662,9.17069E-05,8.68001E-05,9.60748E-05,8.34105E-05,0.000105715,0.000107248,0.000140688,9.59337E-05,8.79887E-05,7.83878E-05,6.54025E-05,0.000113975,6.09803E-05,8.54586E-05,6.36368E-05,0.00011556,5.02581E-05,6.48202E-05,7.56643E-05,6.65269E-05
9,0.000380113,0.000350307,0.000351131,0.000300057,0.000314222,0.000290213,0.000309138,0.000266657,0.000296636,0.000291244,0.000252733,0.000210603,0.000223995,0.000256621,0.000226964,0.000237709,0.000275245,0.000254637,0.0002115,0.000204657,0.000263872,0.000278662,0.000174244,0.00019353,0.000233416,0.000187943,0.000149321,0.000231187,0.000182036,0.000162792,0.000166587,0.000122629,0.000157237,0.00018061,0.000215857,0.000164473,0.000171947,0.000106757,0.000140975,0.000144279,0.000155682,0.000149243,0.000100047,0.000118859,8.37979E-05,0.000116045,0.000116698,0.000102,8.91493E-05,8.81385E-05,0.000101175,8.22486E-05,9.22976E-05,6.25382E-05,8.12799E-05,4.96401E-05,7.23953E-05,0.000102164,0.00010788,7.32705E-05,6.11389E-05,6.66914E-05,6.45334E-05,7.21544E-05
