Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,0.033771844,0.030828789,0.029789482,0.02873389,0.028087746,0.026756067,0.025761621,0.025289806,0.024511977,0.024523073,0.023908006,0.024495347,0.023720797,0.022193796,0.021476116,0.02139907,0.020268707,0.020670577,0.020316935,0.020499738,0.019775658,0.019279003,0.018925771,0.018627508,0.017473797,0.016246383,0.015425472,0.014696113,0.014490646,0.013341506,0.012594503,0.012178638,0.011308116,0.010597332,0.010444616,0.011021811,0.010471304,0.010273944,0.009572872,0.008916971,0.008252948,0.007329686,0.00700092,0.006859036,0.006849631,0.006884161,0.006523887,0.006304464,0.006497867,0.006119001,0.005947598,0.006002457,0.005766194,0.005538758,0.005682087,0.005465168,0.0053605,0.005294092,0.005139986,0.004653565,0.004965662,0.004618445,0.004384103,0.004089103
1,0.002630034,0.002439677,0.002342976,0.002092515,0.002066331,0.001919889,0.001947183,0.001875255,0.001849573,0.001828328,0.001735692,0.001487566,0.001603057,0.001396031,0.001328261,0.001422607,0.001293669,0.001306583,0.001393519,0.001253844,0.001154957,0.001178137,0.001192047,0.001162445,0.001093104,0.001048714,0.000877337,0.001023236,0.000761637,0.000856943,0.000833596,0.000891387,0.000723819,0.000812237,0.00078032,0.000675459,0.000697876,0.000736157,0.000703861,0.000689345,0.000661246,0.000539071,0.000579242,0.000519302,0.000452219,0.000524469,0.000542282,0.000508608,0.000530707,0.000449439,0.000439833,0.000472619,0.000381696,0.000418939,0.000406877,0.000405999,0.000417497,0.000356198,0.000312815,0.000329754,0.000351411,0.000341036,0.000333177,0.000358812
2,0.00155177,0.001423437,0.001358257,0.001136343,0.001114564,0.001093818,0.001155717,0.001102309,0.001110484,0.001053333,0.001062186,0.000920286,0.000940558,0.000857398,0.000842502,0.000903822,0.000866368,0.000900091,0.000904579,0.000814428,0.000796926,0.000782191,0.000761782,0.000689971,0.000657903,0.000625961,0.000619988,0.000553724,0.000552087,0.000565611,0.00052813,0.000459749,0.000479075,0.000440327,0.000520394,0.00044908,0.000464262,0.000435441,0.00045928,0.000439905,0.000380561,0.000338038,0.000370099,0.000318397,0.000294598,0.000305782,0.000310723,0.000322682,0.000332804,0.000275221,0.000264846,0.000270795,0.000256454,0.0002298,0.000233594,0.000224112,0.000289359,0.000183207,0.000186681,0.000184101,0.000204054,0.000184261,0.00018011,0.000161345
3,0.001096933,0.000995595,0.000956941,0.000802243,0.000795797,0.000751755,0.000793997,0.000767279,0.000771112,0.000752206,0.000679911,0.000688776,0.00067928,0.000632585,0.000707628,0.000716751,0.000654492,0.00073291,0.000651292,0.000644645,0.000573846,0.000626655,0.000616266,0.00063568,0.000601808,0.000514447,0.000483304,0.000485725,0.000429881,0.000371981,0.000361601,0.000386085,0.000364595,0.000419505,0.000395141,0.000377725,0.000304624,0.000339746,0.00035083,0.000331947,0.000332365,0.000259374,0.000274995,0.000214608,0.000247226,0.000236091,0.00021191,0.000232236,0.000215696,0.000184716,0.000173298,0.0001508,0.000205102,0.000209276,0.00018679,0.000153737,0.000174005,0.000170504,0.000109076,0.00014601,0.000114097,0.000111164,0.000109311,0.000136078
4,0.000888954,0.00079825,0.000772921,0.000649307,0.000651315,0.000630585,0.00066576,0.00065193,0.000653611,0.000655257,0.000635981,0.000611392,0.000647005,0.000567252,0.000586887,0.000622685,0.000530938,0.000566405,0.000606934,0.000495587,0.000520178,0.0005071,0.000526958,0.000452211,0.000434359,0.000444645,0.000453399,0.00040302,0.000418558,0.00042015,0.000375403,0.000325139,0.000326211,0.000234648,0.000297299,0.000261898,0.000286598,0.000242206,0.000261267,0.000261324,0.000219839,0.000252405,0.000222028,0.000211809,0.000157928,0.000218527,0.000198167,0.000188549,0.000165693,0.000157745,0.000160576,0.000166313,0.000162253,0.000120978,0.000117226,0.000127705,0.000150259,0.000130598,9.43876E-05,0.000105695,0.000105548,0.000110759,9.94602E-05,7.32615E-05
5,0.000853909,0.000758563,0.000739976,0.000622914,0.000631768,0.00059911,0.000632279,0.000627494,0.000627596,0.000646201,0.000547714,0.000518176,0.000537315,0.000562325,0.0005612,0.000520125,0.000523997,0.000526429,0.000497412,0.000427842,0.000515654,0.000434585,0.000486607,0.000437498,0.000396603,0.000409939,0.000378819,0.000374138,0.000348839,0.000354819,0.000292482,0.000268305,0.000270678,0.000255592,0.000255415,0.000243573,0.000239674,0.000227237,0.000276061,0.000231023,0.000237173,0.000211137,0.000186386,0.000123867,0.000168638,0.000151933,0.000173056,0.000151412,0.000135424,0.000108451,0.000127349,0.000123473,0.000137771,8.37648E-05,0.00011431,0.00012665,0.000120851,0.000146999,0.000121167,0.000106427,0.000116995,0.000105034,9.91202E-05,8.78249E-05
6,0.000788004,0.000692457,0.000680587,0.000574105,0.000588649,0.000547318,0.000577384,0.000580835,0.00057953,0.000612482,0.000542675,0.00046372,0.000507158,0.000425845,0.000496689,0.000434688,0.000432502,0.000476543,0.00041528,0.000478998,0.000449522,0.00047079,0.000447519,0.000387484,0.000353787,0.000368189,0.000387954,0.000363176,0.000343177,0.000300276,0.000319602,0.00025261,0.000272015,0.000239591,0.000178393,0.000202375,0.000224679,0.000220754,0.000223646,0.000238409,0.00019157,0.000177968,0.000178919,0.000169111,0.000169667,0.000128272,0.000160235,0.000147459,0.000119245,0.000182862,0.000132713,0.00012355,0.000140717,0.000112701,0.000142328,9.1799E-05,0.000119634,0.000101039,8.93395E-05,9.62768E-05,9.1124E-05,9.02846E-05,7.33691E-05,0.000106809
7,0.00065187,0.000566593,0.000561133,0.00047432,0.000491607,0.000471651,0.000497353,0.000507239,0.000504878,0.000547372,0.00046929,0.000487905,0.000483941,0.000447327,0.000450863,0.000384029,0.000420853,0.000409979,0.000450327,0.000405617,0.000419525,0.000406785,0.000362341,0.0003558,0.000336744,0.000327038,0.000300863,0.000314671,0.000297857,0.000323612,0.000275708,0.000249086,0.000259519,0.000209033,0.000269617,0.00023504,0.000149963,0.000227516,0.000263951,0.000158271,0.000207021,0.000203426,0.000145415,0.0001612,0.000143151,0.000109097,0.000116779,0.000171308,0.000133207,0.000128053,0.00012724,0.000117043,9.88179E-05,0.000101236,8.80959E-05,9.24934E-05,9.44938E-05,0.000106235,7.14788E-05,6.6941E-05,8.38458E-05,7.25799E-05,0.000115793,8.42215E-05
8,0.000598553,0.000521828,0.000507764,0.000439553,0.000454649,0.000441527,0.000468509,0.000463992,0.000460595,0.000490907,0.000390197,0.000361487,0.000459733,0.000415978,0.000441367,0.00044156,0.000438993,0.000354827,0.00036229,0.000312451,0.00040808,0.000378841,0.000337812,0.000297273,0.000304218,0.000290497,0.000292457,0.000267081,0.000351277,0.00026852,0.000248724,0.000263763,0.000245987,0.000239015,0.000194503,0.000200752,0.000193437,0.000275205,0.000196433,0.000204697,0.000198203,0.000154391,0.000161386,0.000195767,0.00015807,0.000125802,0.000177903,0.000130821,0.000114887,0.00012478,0.00010781,9.41961E-05,0.000110489,0.000116089,8.31583E-05,0.000127125,0.00012574,0.000115963,0.000105674,0.000110191,9.8719E-05,9.8941E-05,7.51513E-05,6.91291E-05
9,0.000570215,0.000498627,0.000476598,0.000422585,0.000436225,0.000422821,0.00045136,0.0004343,0.00042995,0.000450223,0.000449236,0.00036986,0.000417431,0.000402184,0.000421389,0.000402509,0.00038265,0.000414131,0.000330741,0.000343462,0.000408838,0.000327537,0.00032162,0.00026998,0.000287468,0.000297746,0.000271108,0.000342698,0.000316308,0.000253912,0.000233685,0.000223148,0.000251507,0.000216621,0.000181314,0.000162728,0.000166469,0.000209116,0.000186447,0.000190174,0.000204272,0.000161218,0.000138878,0.000152204,0.000166024,0.00016367,0.000134341,0.000123266,0.000130553,0.000114779,7.37912E-05,0.000130694,0.000120065,0.000109985,8.00505E-05,0.000139067,0.000111439,0.000100718,7.79131E-05,0.000114746,0.000109912,7.60884E-05,7.38113E-05,0.000110679
10,0.00056226,0.000493156,0.000462914,0.000420483,0.0004332,0.000401687,0.000431278,0.000403384,0.000398244,0.000409468,0.000333376,0.000369856,0.000402048,0.000353458,0.000383399,0.000339664,0.00044083,0.000302984,0.000360608,0.000355013,0.000344768,0.000306656,0.000263952,0.000283664,0.000309303,0.000279951,0.00024528,0.000321004,0.000238493,0.000241492,0.000229179,0.000223317,0.000208804,0.000260685,0.000216053,0.000187559,0.000155648,0.000217334,0.00020263,0.000189207,0.000189895,0.000170464,0.000167654,0.000120125,0.000199445,0.000124338,0.000166459,0.000139934,0.000131607,0.000138855,0.000142598,9.90619E-05,8.96087E-05,0.000125343,0.000109403,0.000123999,5.88559E-05,0.000113998,8.49161E-05,8.67487E-05,9.19814E-05,8.6855E-05,8.51344E-05,0.00010406
11,0.000567127,0.000498924,0.000459817,0.000427952,0.00044004,0.00040374,0.000435892,0.000396499,0.000390354,0.000393827,0.000388687,0.000398397,0.000334181,0.000363517,0.000353663,0.000391436,0.000323563,0.000394066,0.000302407,0.000325367,0.000325807,0.000344768,0.000335498,0.000287676,0.000299651,0.000245929,0.000264961,0.000295914,0.000270158,0.000256184,0.000244164,0.000261068,0.000248119,0.00024063,0.000306331,0.000202424,0.000217249,0.000234909,0.00018981,0.000195954,0.000191858,0.00016536,0.00018287,0.000167522,0.000144417,0.000160253,0.000171504,0.000160335,0.000148133,0.000102893,0.000135758,0.000156184,0.000121318,9.22586E-05,0.00013621,0.000135576,0.000108625,9.08575E-05,9.83786E-05,0.000102478,7.39462E-05,0.000110474,6.08452E-05,8.78281E-05
12,0.000568407,0.000501554,0.000453727,0.00043276,0.000444135,0.000410113,0.000445139,0.000393966,0.000386763,0.00038262,0.00039341,0.000356675,0.000367923,0.000408142,0.000414361,0.000403427,0.000383965,0.000382979,0.000322438,0.000337358,0.000312785,0.000330761,0.000321556,0.000317762,0.000315993,0.000301779,0.000264107,0.000254592,0.000258319,0.000228184,0.000266164,0.000250115,0.000280074,0.000264536,0.00024308,0.000194504,0.0002375,0.0001903,0.000231202,0.000169271,0.000189287,0.000228512,0.000202146,0.000229333,0.000189127,0.000168544,0.000189615,0.000162419,0.000171639,0.000153726,0.000185501,0.000115909,0.00014741,0.000149508,0.000172393,0.000124244,0.000126159,9.06088E-05,0.000104844,0.000112619,0.000104905,0.000107367,0.000106961,0.000108272
13,0.000597738,0.000541685,0.000491269,0.000471836,0.000489666,0.000434649,0.000477678,0.000425348,0.000429217,0.000422044,0.000384445,0.0004601,0.000402527,0.000418164,0.000463951,0.000454847,0.000424507,0.000343635,0.000418504,0.000354983,0.000407689,0.000360897,0.00035875,0.000361471,0.000362003,0.000327578,0.000312962,0.000284276,0.000283952,0.000251047,0.000337121,0.00029972,0.000266358,0.000252146,0.000310397,0.000251213,0.000317523,0.000339817,0.00020679,0.000244557,0.000266855,0.00019558,0.000222448,0.00019898,0.000222985,0.000219931,0.000195747,0.000197933,0.000156245,0.00016556,0.000204683,0.000220205,0.00017787,0.000150204,0.00016616,0.000180805,0.000169661,0.000116952,0.000139347,0.000101332,8.54626E-05,0.000107397,0.000116227,0.000109469
14,0.000666189,0.000620474,0.000564143,0.000545559,0.000572333,0.000490987,0.000546585,0.000489726,0.000507706,0.000496311,0.000459449,0.000508345,0.000460723,0.000467127,0.000465348,0.000505167,0.000500024,0.000520819,0.000463902,0.000405323,0.000453298,0.000464373,0.000443515,0.000353276,0.000386278,0.000376035,0.000333999,0.000323957,0.000407997,0.00036649,0.00035403,0.000365379,0.000353366,0.000362673,0.000361507,0.000301636,0.000337423,0.00032955,0.000281952,0.000309322,0.000309321,0.000256711,0.000283852,0.000280141,0.00025992,0.000265959,0.000260026,0.000253313,0.000232833,0.000197359,0.000243467,0.000219961,0.000208884,0.000197882,0.000191579,0.000188644,0.000191695,0.00014319,0.000145289,0.000129743,0.000132346,0.000114376,0.000130784,0.000127647
15,0.00071556,0.000685476,0.00062481,0.00060834,0.00064493,0.000574981,0.000648675,0.000584856,0.000622626,0.000605238,0.000540781,0.000554754,0.000519086,0.000533444,0.00057692,0.000544508,0.000594707,0.000555889,0.00050102,0.000533152,0.000500304,0.000502807,0.000507098,0.000472266,0.000402099,0.000365665,0.000456562,0.000412286,0.000426532,0.000383792,0.000405668,0.000392979,0.000444913,0.000426387,0.000375389,0.000449822,0.000390775,0.000359874,0.000399482,0.000433944,0.00044057,0.000333267,0.0003511,0.000331028,0.000273847,0.000338968,0.000305536,0.000268807,0.000243604,0.000232994,0.000243097,0.000279347,0.000242872,0.000291806,0.000214144,0.000217872,0.000268751,0.000204686,0.000260952,0.000164033,0.000171269,0.000140347,0.00015194,0.000144685
16,0.000784655,0.00077374,0.000707029,0.000693019,0.000742234,0.000688281,0.000787284,0.000714366,0.000780582,0.000754688,0.000774961,0.000772222,0.000760731,0.000883574,0.000907943,0.001075692,0.000889459,0.000859332,0.000847543,0.00087193,0.000870732,0.000685955,0.000621481,0.000589507,0.000663591,0.000691389,0.000592046,0.000644716,0.000590629,0.000517062,0.000526494,0.000538665,0.000583368,0.000535877,0.000530971,0.000508902,0.00051683,0.000508612,0.000536028,0.000579501,0.000563253,0.000424668,0.000405673,0.00040199,0.00034374,0.000407507,0.000478638,0.000471543,0.000397644,0.000410734,0.000327283,0.000403869,0.000352466,0.000320082,0.0003281,0.000360814,0.000317463,0.00033938,0.000267603,0.000213095,0.000239124,0.000173332,0.000214043,0.000226359
17,0.00085062,0.000864155,0.000791621,0.000781089,0.000844889,0.00080414,0.000933056,0.000852134,0.000955288,0.000918796,0.001097067,0.001016874,0.000935551,0.001075706,0.001155574,0.001157339,0.001053408,0.001025041,0.001082995,0.001074093,0.001006166,0.001021766,0.001019653,0.0010506,0.001089518,0.001143584,0.001082117,0.00113172,0.001005983,0.001102873,0.001049964,0.000971684,0.000816701,0.000813627,0.000784581,0.000781939,0.000799256,0.000817639,0.000862915,0.000880177,0.000745352,0.000653089,0.000681967,0.000654821,0.000650262,0.000656735,0.000642334,0.000543445,0.00060994,0.000544633,0.000569742,0.00055941,0.000510307,0.000516159,0.000551112,0.000546229,0.000479698,0.00047284,0.000455095,0.000359314,0.000318305,0.000322775,0.000279873,0.000277142
18,0.001018125,0.00102515,0.00093302,0.00091411,0.000983823,0.000939694,0.001072686,0.000983071,0.001091553,0.001064003,0.001093683,0.001172316,0.001141952,0.001204373,0.001187942,0.001222805,0.001150671,0.00103297,0.001142956,0.001080091,0.001013554,0.000994588,0.001151465,0.001148632,0.001131329,0.001145632,0.001039674,0.001255401,0.001136616,0.001149417,0.00104395,0.001047487,0.000915014,0.000840937,0.000866455,0.000959153,0.000895175,0.000856464,0.000899349,0.000907996,0.000939939,0.000789468,0.000784992,0.000649909,0.000861565,0.000790534,0.000838129,0.000846612,0.000726276,0.00081206,0.000816405,0.000749877,0.000724425,0.000648978,0.000657563,0.00059829,0.000540146,0.000544319,0.00055319,0.000494814,0.000380927,0.000497615,0.000386064,0.00042214
19,0.001181685,0.001179495,0.001066572,0.00103752,0.001110933,0.001036694,0.001164413,0.001070872,0.001177574,0.001163422,0.00115054,0.001205956,0.001219857,0.001265249,0.001137254,0.001237173,0.001132878,0.000950502,0.001011495,0.000991919,0.001111479,0.001091107,0.001041605,0.001238828,0.001086927,0.001119151,0.001074545,0.00109357,0.001121786,0.00106071,0.001085148,0.00095827,0.000956484,0.000952828,0.00082032,0.000882035,0.000953989,0.000814443,0.000896837,0.000848253,0.000870708,0.000813683,0.000806737,0.000739475,0.000857993,0.000797144,0.000845679,0.000886465,0.000832754,0.000788216,0.000883164,0.000718169,0.000648157,0.000621768,0.000705113,0.00066087,0.000608935,0.00058999,0.000596163,0.000412948,0.000423266,0.000430966,0.000460687,0.000443543
20,0.001315298,0.001301672,0.001169501,0.001129478,0.001203082,0.001098677,0.001214385,0.001120756,0.001220417,0.001222215,0.00122979,0.001171189,0.001198658,0.001159828,0.001118151,0.001119584,0.00105702,0.000959006,0.000887342,0.001160016,0.000989723,0.000993624,0.001105019,0.00109738,0.001129205,0.001052228,0.000944937,0.001082476,0.00098188,0.00100243,0.000922264,0.000988034,0.000990484,0.000936144,0.000943143,0.000853813,0.000875963,0.000943038,0.000868809,0.000965875,0.000842644,0.000771089,0.000914308,0.000899476,0.000892426,0.00080505,0.000968941,0.000815725,0.000763382,0.000794904,0.000787091,0.0008652,0.000834775,0.000747564,0.000650674,0.000688627,0.000646087,0.000734761,0.000578495,0.000524659,0.000495938,0.000455428,0.000429375,0.000444296
21,0.001399704,0.001373629,0.001226272,0.00117573,0.001245667,0.001132846,0.001232379,0.00114138,0.001230633,0.001249391,0.001076885,0.001052641,0.001178792,0.001143178,0.001029665,0.001020793,0.001041489,0.00098297,0.001014312,0.001034695,0.001062726,0.001030485,0.001063015,0.000946828,0.001091985,0.000960738,0.000959766,0.000984029,0.001017211,0.000930694,0.000777671,0.00082689,0.000863135,0.00085649,0.000899372,0.000861394,0.000973746,0.000874078,0.000862451,0.000915338,0.000871195,0.000873018,0.000860846,0.000794559,0.000994315,0.000853311,0.001027457,0.00085628,0.000805887,0.000815123,0.000765143,0.000765996,0.000781835,0.00063032,0.000708367,0.000635731,0.000698592,0.00062156,0.000663345,0.00061448,0.00050533,0.000439733,0.000443792,0.000474843
22,0.001428459,0.001390361,0.001233323,0.00117385,0.001236897,0.001128993,0.001208947,0.001123649,0.001199456,0.001234597,0.001172516,0.001183372,0.001086132,0.001064059,0.001002574,0.001100042,0.000930622,0.000920859,0.000910568,0.000963667,0.000935709,0.001040424,0.001083439,0.000921167,0.001042028,0.001013232,0.001000085,0.000969658,0.000915822,0.00082863,0.000829085,0.000830336,0.000857659,0.000837462,0.000828916,0.000861114,0.00084967,0.000873387,0.000865606,0.000967375,0.000882416,0.00087838,0.000874214,0.000862795,0.000832665,0.000869574,0.00086342,0.000936064,0.000831949,0.000864409,0.000782779,0.000837628,0.00083692,0.000785854,0.000700569,0.000734217,0.000651546,0.000669949,0.000580548,0.000564407,0.000541429,0.000466144,0.000407975,0.000465108
23,0.001454288,0.001381499,0.001249545,0.001180395,0.001228984,0.001120373,0.001180291,0.001110232,0.001158874,0.001183732,0.001041836,0.0010913,0.001035129,0.001134337,0.00102209,0.001003157,0.000893292,0.000912691,0.000856693,0.000880608,0.000951087,0.000955783,0.000972953,0.000937598,0.000858527,0.000879844,0.000873794,0.000954304,0.00081103,0.000778198,0.000807811,0.000865279,0.00068113,0.000808584,0.000765116,0.000820152,0.000807289,0.000871884,0.000836499,0.000973228,0.000972736,0.000803823,0.000802519,0.000826907,0.00089333,0.00084532,0.000885417,0.000958546,0.000866658,0.000932342,0.000750546,0.000771267,0.000847774,0.000795819,0.000754613,0.000680912,0.000661358,0.000702767,0.000624822,0.00064277,0.000467598,0.000546187,0.000509186,0.000556217
24,0.001489362,0.001380884,0.001273614,0.00119421,0.001228405,0.001115556,0.001156506,0.001100798,0.001123624,0.001138729,0.00102687,0.001040363,0.001073831,0.001016603,0.00112153,0.000979846,0.000875905,0.000852869,0.000928707,0.000818718,0.0007488,0.000843898,0.00098977,0.000883279,0.000807609,0.000900443,0.000789162,0.000976815,0.000838339,0.000813925,0.000811201,0.000806376,0.000717929,0.000781469,0.000718174,0.000759936,0.000807967,0.000777606,0.00092428,0.0008824,0.000893404,0.000878002,0.000819584,0.000868471,0.000875565,0.000859739,0.000904069,0.000993022,0.000859506,0.000886923,0.000957238,0.000816157,0.000775935,0.000723553,0.000663888,0.000669618,0.000692739,0.000691203,0.000613961,0.000600007,0.000478622,0.000495168,0.00051931,0.000518897
