Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,0.026168939,0.025260121,0.024376728,0.022731872,0.022669011,0.021331896,0.021383948,0.020592221,0.02051796,0.020345519,0.019725512,0.019590731,0.019316214,0.018442495,0.017074161,0.01714857,0.016679836,0.016181536,0.01575704,0.016147705,0.0154242,0.014920235,0.014583306,0.014381248,0.013859201,0.012274379,0.012439373,0.012150268,0.011597225,0.010760361,0.009510113,0.009533875,0.008910766,0.008475117,0.008296803,0.008081137,0.007908901,0.007675226,0.007237518,0.00686427,0.006319701,0.005716532,0.005633029,0.005396286,0.005412845,0.00540701,0.005239075,0.004979186,0.005081973,0.005042205,0.005007811,0.004582119,0.00486279,0.004685011,0.004417332,0.004561162,0.004353054,0.004194406,0.004186918,0.004049934,0.003687999,0.003619037,0.00347325,0.003616997
1,0.002348073,0.002016449,0.00208457,0.001700397,0.001843843,0.001618276,0.001636852,0.001506943,0.0015839,0.001499156,0.001301387,0.0013509,0.001368312,0.001208828,0.00122484,0.001264518,0.00121335,0.001170971,0.001185722,0.001060067,0.001103522,0.001081661,0.001013044,0.001001492,0.000973861,0.000870406,0.000802726,0.000915311,0.000818589,0.000777426,0.000726157,0.000673997,0.000655906,0.000669164,0.000774813,0.000670052,0.000649907,0.000570456,0.000576547,0.00060321,0.000583197,0.000506664,0.000446978,0.000478975,0.000456474,0.000424226,0.000392647,0.000422888,0.000390511,0.000322185,0.000341456,0.000364947,0.000390866,0.000365058,0.00037882,0.000405173,0.000327127,0.000323076,0.000250529,0.000303035,0.000305799,0.000264137,0.000296448,0.000210522
2,0.001284618,0.001046464,0.001097215,0.000858895,0.000949544,0.000887153,0.000928822,0.0008413,0.000868595,0.000834198,0.000835292,0.000731372,0.000762067,0.000730211,0.000749694,0.000709335,0.000702869,0.000706854,0.000670492,0.000641233,0.000587978,0.000742274,0.000603591,0.000591468,0.000478313,0.000494203,0.000523094,0.000507323,0.000428119,0.000436284,0.000444356,0.00046031,0.000411437,0.000365197,0.000373549,0.000388741,0.000379421,0.000392353,0.00035943,0.00026462,0.000353142,0.000314296,0.000273125,0.000286724,0.000224535,0.000287412,0.000247451,0.000258738,0.000298416,0.000166607,0.000208833,0.000189187,0.000232211,0.000190821,0.000162517,0.000203997,0.000173798,0.000198911,0.00019888,0.000138353,0.000153994,0.000110768,0.000143929,0.000137014
3,0.000905208,0.000762741,0.000781399,0.000585361,0.00067861,0.000656295,0.000701064,0.000605361,0.00063976,0.000642633,0.000655895,0.000644745,0.000603898,0.000552442,0.000546611,0.000544272,0.000448368,0.000569245,0.000460226,0.000460304,0.000499888,0.000578992,0.000538409,0.000467155,0.000434274,0.000345513,0.000451724,0.000420914,0.000355107,0.000330894,0.000328508,0.000255108,0.000277246,0.000257927,0.000295588,0.000274935,0.000285108,0.000326228,0.000292664,0.000264227,0.000208369,0.00022561,0.000237674,0.000184651,0.000189408,0.000162317,0.000169933,0.00016876,0.000178643,0.000188594,0.000181416,0.000125629,0.000170375,0.00015232,0.00013184,0.000153305,0.000154258,0.000173576,0.000154149,0.000134202,0.000109384,0.000116828,0.000112794,0.000112809
4,0.000656256,0.000593832,0.000580188,0.000473028,0.000508259,0.000496332,0.000529318,0.000476247,0.000516148,0.00049228,0.000477548,0.000463996,0.000548719,0.000467027,0.000524452,0.000509324,0.000435063,0.000483315,0.00044547,0.000427755,0.000375806,0.000436987,0.000350155,0.00036694,0.00036251,0.000324493,0.000317778,0.000338665,0.000312421,0.000260775,0.00026809,0.000229265,0.000282132,0.000243163,0.000197852,0.000248386,0.000217287,0.000227984,0.000256809,0.000174778,0.000212518,0.000147824,0.000169954,0.000142552,0.000140435,0.000131474,0.000127164,0.000104251,0.000115164,0.000150064,0.000146641,0.000157319,0.000142325,0.000136855,8.78385E-05,0.000122378,0.000102046,0.000125126,0.000133643,9.88385E-05,0.000101669,9.07812E-05,9.56226E-05,7.38609E-05
5,0.000610084,0.000516123,0.000532138,0.000436161,0.000468253,0.000450667,0.000463912,0.000408723,0.000445911,0.000450928,0.000417106,0.00050272,0.000417859,0.00041288,0.000416744,0.000367314,0.000328006,0.000357875,0.000356126,0.000385775,0.000355208,0.000337738,0.000371115,0.000296982,0.000275358,0.000312382,0.000258522,0.00026536,0.000265201,0.000268777,0.000221386,0.000211124,0.000226352,0.000217302,0.000188923,0.000177377,0.0001882,0.000165773,0.00019357,0.000146177,0.00016899,0.000126505,0.00016902,0.000140756,0.000158403,0.000150826,0.000134227,0.000124506,0.000118042,0.000123852,0.000124452,0.000115055,0.000125131,0.000101069,8.30194E-05,0.000102697,8.84342E-05,9.29206E-05,0.000113337,8.2259E-05,7.93973E-05,0.000109266,8.00667E-05,7.192E-05
6,0.000571379,0.000496639,0.000498521,0.000401019,0.000442116,0.000406176,0.000422069,0.000369311,0.000384793,0.000418325,0.000305565,0.000350764,0.000329592,0.000310415,0.000334273,0.00032001,0.00029708,0.000308095,0.000241865,0.000315083,0.000298707,0.000322677,0.000301273,0.000266449,0.000245645,0.000252062,0.000189203,0.000224273,0.000249938,0.000244141,0.000224806,0.000194154,0.000230553,0.000197867,0.000205087,0.000188349,0.000160267,0.000162453,0.000162573,0.000153414,0.000156859,0.000158032,0.000147967,0.000126717,0.000130002,0.000134475,0.000117033,0.000139444,0.000121606,9.62809E-05,0.000129407,0.000118309,0.000103206,0.000115965,0.000103603,0.000106383,9.31379E-05,8.8228E-05,7.77764E-05,8.41107E-05,7.66129E-05,8.73078E-05,7.43371E-05,8.22087E-05
7,0.000457618,0.000420155,0.000427874,0.000350117,0.000386205,0.000356724,0.00035399,0.000324978,0.000344976,0.0003639,0.000322663,0.000305323,0.000301007,0.000314875,0.000298918,0.00027704,0.000286919,0.00028547,0.000227214,0.000271004,0.000267649,0.000242834,0.000252516,0.000271703,0.000251413,0.000223422,0.000214117,0.000245405,0.000182294,0.000175632,0.000210396,0.000174852,0.000169583,0.000195096,0.000153519,0.000151971,0.000137504,0.000165745,0.000136582,0.000133882,0.000158763,0.000129273,0.000119899,9.40934E-05,0.00011083,8.48708E-05,0.000113374,0.000117031,9.46465E-05,8.38986E-05,0.000112817,9.24606E-05,8.11917E-05,8.04121E-05,0.000101493,6.5948E-05,7.92966E-05,9.56966E-05,7.27924E-05,8.05567E-05,4.35493E-05,8.19665E-05,6.79537E-05,8.7176E-05
8,0.000430377,0.000408714,0.000390763,0.000320624,0.000355777,0.00030985,0.000347568,0.000307516,0.000305432,0.000354114,0.000304689,0.000255813,0.000297481,0.000288382,0.000233605,0.000270165,0.000284761,0.000315497,0.000251704,0.000230151,0.000238945,0.00028712,0.000227636,0.000252942,0.000215591,0.00020892,0.000191763,0.000199703,0.000201276,0.000239731,0.000162581,0.000193687,0.000180845,0.000144741,0.000165871,0.000140621,0.000119642,0.000157038,0.000126135,0.000133519,0.000142141,0.000133139,0.000101697,0.000100757,9.13426E-05,8.97015E-05,0.000100783,8.69584E-05,0.000101293,0.000100027,0.000132505,9.58658E-05,9.47086E-05,8.07319E-05,6.63273E-05,0.000109566,6.55271E-05,8.76466E-05,6.84434E-05,0.000102766,6.56618E-05,7.23029E-05,6.75704E-05,6.76344E-05
9,0.000401648,0.000366455,0.000372309,0.000305245,0.000322988,0.000279519,0.000316372,0.000277284,0.000288619,0.000288941,0.000260581,0.000204735,0.000213376,0.000243889,0.000230772,0.000242221,0.000268364,0.000257666,0.000205956,0.000204225,0.000259696,0.000258914,0.000185469,0.000200032,0.000235963,0.000189834,0.000163626,0.0002308,0.000194986,0.000165489,0.000172504,0.000128137,0.000165308,0.000174714,0.000233477,0.000152678,0.000162236,9.91432E-05,0.000148475,0.000134371,0.000155904,0.000142088,0.0001132,0.000109787,9.52695E-05,0.000120785,0.000116075,0.000116629,8.41453E-05,8.57538E-05,9.99365E-05,8.08113E-05,0.000103512,7.20746E-05,8.04653E-05,5.23038E-05,7.5409E-05,0.000102028,0.000110431,7.69648E-05,5.73912E-05,6.24043E-05,6.62465E-05,7.00533E-05
