Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,0.033894451,0.03200461,0.030568239,0.029279115,0.028948158,0.027708803,0.027125323,0.026258042,0.025530652,0.026027556,0.025403948,0.025881694,0.024943561,0.02378961,0.022379499,0.022331461,0.020807545,0.021612531,0.020797905,0.021185059,0.020096599,0.019160241,0.018857339,0.018812063,0.017451654,0.016272915,0.015996508,0.015409958,0.014827276,0.01344482,0.012638956,0.012337675,0.011407185,0.010734848,0.010418903,0.010926378,0.010375567,0.010185049,0.009545983,0.008885412,0.00829532,0.00734391,0.007060306,0.006837407,0.006833654,0.006874904,0.006454262,0.006286521,0.006443429,0.006112419,0.005969961,0.005992966,0.005768649,0.005558038,0.005724532,0.005450007,0.005358156,0.005227047,0.005113732,0.004644515,0.004942595,0.004579901,0.004336193,0.004129316
1,0.002678972,0.002466947,0.002362186,0.002119202,0.002080716,0.001944309,0.001963096,0.001845498,0.001896493,0.001855708,0.001755671,0.001558359,0.001636236,0.001401384,0.001350482,0.001451562,0.001327485,0.001321394,0.001371248,0.0012621,0.001180125,0.001213658,0.001209116,0.001218841,0.001070028,0.001074661,0.000907307,0.001021867,0.000791677,0.000881258,0.000829997,0.000904012,0.000733946,0.000853075,0.000766252,0.000673074,0.000689131,0.000726019,0.000694773,0.000694467,0.000675567,0.000543578,0.000559002,0.000533496,0.000460056,0.000512241,0.000515299,0.000509358,0.000519711,0.000435111,0.000410818,0.000470314,0.00039006,0.000428227,0.000396041,0.000397492,0.000407351,0.00036922,0.000316462,0.000321539,0.000353981,0.000324336,0.000322694,0.000346393
2,0.001603247,0.001439179,0.001373222,0.001201212,0.00112789,0.001091087,0.00115867,0.001072637,0.001118988,0.001059574,0.001104592,0.00094609,0.000936668,0.000847672,0.000836762,0.00094805,0.000873181,0.000900527,0.000932424,0.000844567,0.00079828,0.000796383,0.000799519,0.000722524,0.000675463,0.000649483,0.000654009,0.000562089,0.00056935,0.000574479,0.000537477,0.000475556,0.000462393,0.000451886,0.000508871,0.000430782,0.000451687,0.000439051,0.00047027,0.000442503,0.000386639,0.000341835,0.000394316,0.000313641,0.000296389,0.000312307,0.000307086,0.000323525,0.000316234,0.000279647,0.000254467,0.000277704,0.000254464,0.000231124,0.000256938,0.000235833,0.000282369,0.000184732,0.000187147,0.000191689,0.000202032,0.000182153,0.000178028,0.000170786
3,0.001134508,0.001012238,0.000973396,0.000822398,0.000829307,0.000768186,0.000835339,0.000792573,0.000818991,0.000760931,0.000713651,0.000683289,0.000724312,0.000620519,0.000740482,0.000720903,0.000686304,0.000766158,0.000639649,0.000649759,0.000591378,0.000664218,0.000664219,0.000657084,0.000595344,0.000538744,0.000486045,0.000507555,0.000432268,0.000394965,0.000406452,0.000397493,0.000368798,0.000418894,0.000401879,0.000379077,0.000315608,0.000356167,0.000364948,0.000324998,0.000332867,0.000266988,0.0002734,0.0002195,0.000250859,0.000218952,0.000211081,0.000224284,0.000226064,0.000185102,0.000170163,0.00016161,0.000219198,0.000203624,0.000192664,0.000151364,0.000193803,0.000162768,0.000110599,0.000155986,0.0001143,0.0001042,0.000110155,0.000133799
4,0.000918306,0.000834267,0.000814557,0.000682746,0.000698598,0.000658887,0.000669641,0.000658513,0.000660085,0.000674577,0.000632657,0.000599773,0.000675458,0.000586187,0.000603238,0.000638861,0.000548065,0.000584156,0.000615087,0.000533632,0.000525773,0.000504283,0.000548021,0.00045291,0.000459965,0.000440288,0.000468637,0.000408734,0.000407688,0.000430515,0.000392356,0.000312587,0.000331696,0.000250286,0.000307346,0.000274822,0.000288768,0.000261212,0.000268899,0.000260465,0.000218908,0.000254948,0.000231454,0.000214987,0.000154483,0.000218038,0.000200957,0.000185219,0.000178723,0.000169366,0.000166446,0.000183031,0.000163355,0.000130102,0.000115827,0.000128279,0.000145333,0.00012462,9.22E-05,0.000102338,0.000101982,0.000113775,0.000108569,7.30E-05
5,0.00089239,0.000785976,0.00077166,0.00064182,0.000648604,0.0006055,0.000653449,0.000645063,0.000641645,0.00066316,0.000551221,0.00052277,0.000546178,0.000562469,0.000572619,0.000557016,0.000528374,0.000536413,0.000538991,0.000444014,0.000517848,0.000466284,0.000503771,0.000461979,0.000438649,0.000425678,0.000392628,0.000390114,0.00036094,0.000361095,0.000308809,0.000269278,0.000298096,0.000261843,0.000255045,0.000255232,0.000250112,0.00023977,0.000269114,0.000234461,0.000234124,0.000219002,0.000174119,0.000137211,0.000176842,0.000164118,0.0001654,0.000159653,0.000143428,0.000128086,0.00013169,0.000128141,0.000141263,9.91E-05,0.000112776,0.000124148,0.000116267,0.00014238,0.000113459,0.000102979,0.000115079,0.000111681,8.86E-05,9.56E-05
6,0.000805896,0.000719746,0.000700691,0.000601163,0.000606763,0.000544767,0.000619244,0.000575539,0.0005686,0.000611867,0.000537571,0.000502361,0.000535356,0.000455784,0.000524918,0.000457508,0.00045992,0.000485741,0.000423932,0.000492827,0.000448199,0.00048987,0.000463352,0.000405053,0.000359239,0.000382672,0.000382429,0.000358149,0.000358115,0.000303792,0.000325327,0.00026274,0.0002938,0.000259198,0.000200104,0.000203479,0.000236175,0.000228301,0.000212154,0.000244258,0.000202467,0.000184779,0.000170045,0.000168988,0.000172553,0.000131048,0.000149081,0.000145326,0.000136357,0.000172464,0.000136249,0.000114888,0.000140726,0.000113523,0.000142742,0.000101152,0.00011207,0.000121801,0.000105216,0.000107899,9.75E-05,9.38E-05,7.33E-05,0.000112681
7,0.000679559,0.000580865,0.000581613,0.000472271,0.000503411,0.000476877,0.000497626,0.000504689,0.000499889,0.000537443,0.000490569,0.00048098,0.000507462,0.00044849,0.000470769,0.000376009,0.000418407,0.000425569,0.000452836,0.000434667,0.000426975,0.000425798,0.000377194,0.000371414,0.000363312,0.000340473,0.000295128,0.000312084,0.000323123,0.000321636,0.000261236,0.000241755,0.000274661,0.000239138,0.000276452,0.000249593,0.000171156,0.000244133,0.000260646,0.00016034,0.000208606,0.000194468,0.00015099,0.000162171,0.000141112,0.000101354,0.000125905,0.000176276,0.000135268,0.000126183,0.0001337,0.000114327,0.00010358,0.000100369,8.62E-05,9.30E-05,9.50E-05,0.000108722,7.52E-05,7.39E-05,8.30E-05,7.28E-05,0.000111556,8.55E-05
8,0.000627834,0.000535178,0.000530872,0.000464753,0.000464538,0.000441251,0.000476551,0.000477053,0.000465185,0.000499803,0.00041393,0.000375611,0.000464939,0.000402761,0.000439001,0.000451769,0.000441673,0.000346031,0.000362858,0.000316928,0.000403518,0.000383775,0.0003518,0.000293624,0.000318441,0.000293115,0.000310594,0.000281653,0.000338646,0.000290452,0.000249223,0.000267192,0.000239166,0.000245268,0.000202346,0.000198682,0.000205008,0.000256686,0.000192863,0.000195262,0.000203467,0.000157047,0.000173241,0.000189902,0.000161973,0.000118311,0.000177294,0.000135786,0.000121422,0.000117833,0.000113441,9.65E-05,0.000103197,0.000124104,8.95E-05,0.000123496,0.000125122,0.000119604,0.000105328,0.000109612,9.65E-05,0.00010747,7.52E-05,6.71E-05
9,0.000590511,0.000530636,0.000479605,0.000433365,0.000451784,0.000414524,0.000461186,0.000436876,0.000411413,0.000456129,0.000458406,0.000386494,0.00043896,0.000410921,0.000420131,0.000408351,0.000387261,0.000441269,0.000334509,0.000353298,0.000398621,0.000350818,0.000336296,0.000276807,0.000306169,0.000296236,0.000280613,0.000330451,0.000317514,0.000259502,0.000234359,0.000232168,0.000251228,0.000222101,0.000192334,0.000168684,0.000174778,0.000204919,0.000184405,0.000176661,0.000205734,0.000157538,0.000173214,0.000151995,0.000171593,0.000161766,0.000138436,0.000131602,0.000122993,0.000131233,8.78E-05,0.000136249,0.000116807,0.00011327,9.47E-05,0.00014169,0.000109511,0.000102878,8.02E-05,0.000113373,0.000106481,8.77E-05,7.69E-05,0.000104253
